Date, Open, High, Low, Close
04/07/11, 1.6332, 1.6332, 1.6323, 1.6323
04/06/11, 1.6297, 1.6332, 1.6297, 1.6332
04/05/11, 1.6133, 1.6297, 1.6133, 1.6297
04/04/11, 1.6113, 1.6133, 1.6113, 1.6133
04/01/11, 1.6027, 1.6113, 1.6027, 1.6113
03/31/11, 1.6073, 1.6073, 1.6027, 1.6027
03/30/11, 1.6013, 1.6073, 1.6013, 1.6073
03/29/11, 1.5994, 1.6013, 1.5994, 1.6013
03/28/11, 1.6041, 1.6041, 1.5994, 1.5994
03/25/11, 1.6121, 1.6121, 1.6041, 1.6041
03/24/11, 1.6235, 1.6235, 1.6121, 1.6121
03/23/11, 1.6364, 1.6364, 1.6235, 1.6235
03/22/11, 1.6313, 1.6364, 1.6313, 1.6364
03/21/11, 1.6235, 1.6313, 1.6235, 1.6313
03/18/11, 1.6138, 1.6235, 1.6138, 1.6235
03/17/11, 1.6026, 1.6138, 1.6026, 1.6138
03/16/11, 1.6079, 1.6079, 1.6026, 1.6026
03/15/11, 1.6174, 1.6174, 1.6079, 1.6079
03/14/11, 1.6082, 1.6174, 1.6082, 1.6174
03/11/11, 1.6061, 1.6082, 1.6061, 1.6082
03/10/11, 1.6203, 1.6203, 1.6061, 1.6061
03/09/11, 1.6162, 1.6203, 1.6162, 1.6203
03/08/11, 1.6201, 1.6201, 1.6162, 1.6162
03/07/11, 1.6272, 1.6272, 1.6201, 1.6201
03/04/11, 1.6278, 1.6278, 1.6272, 1.6272
03/03/11, 1.6327, 1.6327, 1.6278, 1.6278
03/02/11, 1.6267, 1.6327, 1.6267, 1.6327
03/01/11, 1.6258, 1.6267, 1.6258, 1.6267
02/28/11, 1.6119, 1.6258, 1.6119, 1.6258
02/25/11, 1.6139, 1.6139, 1.6119, 1.6119
02/24/11, 1.6213, 1.6213, 1.6139, 1.6139
02/23/11, 1.6138, 1.6213, 1.6138, 1.6213
02/22/11, 1.6225, 1.6225, 1.6138, 1.6138
02/21/11, 1.6255, 1.6255, 1.6225, 1.6225
02/18/11, 1.6173, 1.6255, 1.6173, 1.6255
02/17/11, 1.6097, 1.6173, 1.6097, 1.6173
